DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RootMeanSquareError; RankerPredictTimes; BestThreeLoss;ID
1025;9877;0.29004329;0;4.449097452;14;0;1
2;6810;0.480519481;10.95057;22.83921334;3;3.346007;2
1026;6693;0.445887446;6.976744;3.240275952;3;0;3
4;7502;0.645021645;1.333333;9.86294849;3;1.333333;4
7;6520;0.584415584;5.862069;5.40869239;3;4.827586;5
9;7042;0.852813853;0;4.493457072;2;0;6
10;6423;0.670995671;5.238096;6.104332444;3;1.428572;7
11;6635;0.627705628;10.491804;9.917444393;3;1.202186;8
40971;6656;0.748917749;0;17.96570359;2;0;9
13;6674;0.186147186;8.433735;2.884606293;4;2.650602;10
15;6472;0.584415584;1.352657;8.933239762;3;0.579711;11
1045;6937;0.29004329;1.95122;7.102876184;2;0.97561;12
40981;6439;-0.281385281; NaN; NaN;3; NaN;13
1048;6517;0.411255411;0;5.359142665;3;0;14
25;6861;0.670995671;0;5.746323845;3;0;15
27;6441;0.714285714;0;2.328602087;3;0;16
29;6508;0.445887446;1.764706;1.984755994;3;1.764706;17
1054;6771;0.134199134;2.666667;7.205156125;3;2.666667;18
31;6435;0.584415584;0.805369;1.949942005;3;0;19
1055;6517;0.402597403;0;4.589160508;3;0;20
34;6981;0.601731602;0;9.524381068;3;0;21
40994;6472;-0.229437229; NaN; NaN;3; NaN;22
35;6543;0.593073593;1.386138;13.34366162;3;0.792079;23
1059;6538;0.212121212;0;6.405713708;3;0;24
1060;6701;0.463203463;2.5;11.98296549;3;0;25
37;6445;0.731601732;0.614035;1.869600664;3;0.087719;26
1061;6563;0.246753247;2.666666;8.894890611;3;0.666666;27
1062;6548;0.116883117;7.5;9.257862545;3;5;28
39;6600;0.731601732;2.553192;2.490425394;2;0.851064;29
1063;6592;0.402597403;2.077922;11.20470151;3;0;30
40;6559;0.619047619;6;8.226970471;3;4;31
1064;6565;0.151515152;4.444444;6.723389434;3;0;32
41;6702;0.714285714;0;4.227409557;2;0;33
1065;6547;0.627705628;0.298507;5.443701635;2;0;34
42;6570;0.653679654;0.32967;11.1867021;4;0;35
1066;7048;0.385281385;1.95122;4.345088011;3;0.487805;36
43;7330;0.108225108;2.247191;3.038129898;3;1.797753;37
1071;7613;0.593073593;1.186441;2.890188452;3;0;38
48;8613;0.367965368;3.902439;10.88533458;3;3.902439;39
49;7887;0.705627706;0.227273;22.23238564;3;0;40
1073;8599;0.411255411;1.25;3.225994053;4;1.25;41
50;8330;0.376623377;4.43662;12.10261497;4;0.070423;42
51;8331;0.688311688;0;21.92795691;3;0;43
1075;8322;0.402597403;0;4.712596428;3;0;44
52;8077;0.038961039;40;21.69412698;2;10;45
53;11913;0.506493506;1.772152;7.991041989;4;0.759493;46
54;12646;0.731601732;7.741936;7.157665228;3;0;47
55;12676;0.281385281;2.325582;3.505269417;4;0;48
56;11482;0.298701299;0;4.903147891;3;0;49
4153;11025;0.731601732;0.833333;13.41583227;3;0;50
59;10513;0.662337662;3.72549;6.952534466;2;0;51
61;10279;0.627705628;0;3.769503925;3;0;52
62;10479;0.515151515;3.478261;8.605416882;2;3.478261;53
1100;10312;0.16017316;7.571429;8.415051383;3;3.571429;54
1115;10257;0.264069264;34.634147;16.97110875;2;34.634147;55
1117;10655;0.385281385;0;8.761882305;3;0;56
1121;10180;0.246753247;0;6.301309445;2;0;57
1167;7997;0.359307359;1.505376;2.044158941;3;1.505376;58
163;7953;0.480519481;20;7.881947613;3;12;59
164;7971;0.636363636;4.285714;9.994588221;4;0;60
171;8008;0.714285714;1.686747;8.132233711;2;1.686747;61
172;8262;0.16017316;60;16.78001899;4;0;62
186;8129;0.662337662;1.016949;8.543934998;3;1.016949;63
187;8254;0.696969697;1.632653;6.278999959;2;0;64
188;8055;0.567099567;9.860465;7.018782285;2;0;65
6332;7969;0.367965368;26.037736;9.871066157;3;1.509434;66
4329;7736;0.696969697;0.143885;1.390430584;2;0;67
4340;9676;0.61038961;1.25;8.043756773;3;1.25;68
275;8111;0.601731602;0;5.478462315;2;0;69
276;9722;0.584415584;6.31579;4.332803834;3;0;70
277;8962;0.645021645;4.444444;7.772796916;2;4.444444;71
278;8308;0.515151515;0;7.891282085;3;0;72
285;8305;0.645021645;9.2;5.650848406;2;3.2;73
307;8051;0.835497835;8.251748;11.98704904;3;2.167832;74
311;7932;0.341991342;0.57554;13.92997038;3;0.359713;75
327;8000;0.731601732;0;5.425123603;2;0;76
328;7874;0.774891775;0.869565;6.99216061;4;0;77
329;8001;0.748917749;0.909091;14.05149041;3;0.909091;78
333;7908;0.705627706;0;7.832640003;3;0;79
334;8285;0.151515152;33.898305;9.246439338;4;33.898305;80
335;8164;0.532467532;0;5.994607939;3;0;81
336;8371;0.350649351;3.376623;3.311003137;4;1.558441;82
337;7999;0.463203463;0;5.471670543;3;0;83
338;8295;0.359307359;9.5;5.705091801;2;9;84
339;7873;0.567099567;0;12.30870178;2;0;85
340;7804;0.515151515;10.909091;6.913766767;4;9.09091;86
342;7843;0.497835498;0;9.470531685;3;0;87
343;7999;0.705627706;0;5.679379052;3;0;88
346;7825;0.593073593;0;11.06727437;3;0;89
374;7980;-0.073593074;0;6.378237635;2;0;90
376;8097;0.073593074;0;23.78754733;2;0;91
377;7967;0.714285714;1.954023;12.59752573;2;0;92
379;8325;-0.203463203;0;7.479434368;1;0;93
380;8271;-0.212121212;0;7.296363797;2;0;94
1412;8446;0.454545455;2.153846;4.111978122;3;0.307693;95
1413;8046;0.688311688;0;3.144501274;3;0;96
1441;7951;0.653679654;2.352942;3.815149755;3;0;97
1442;8020;0.835497835;0;0.937528955;4;0;98
1443;7941;0.67965368;0.205128;3.231486622;3;0.205128;99
1446;8088;0.619047619;0.465116;3.538708666;2;0;100
1447;8642;0.714285714;0;6.29460994;3;0;101
1448;7996;0.601731602;0;2.900963463;3;0;102
1449;8220;0.774891775;0;1.079076566;3;0;103
1450;8332;0.186147186;4;6.463989093;2;4;104
1451;8279;0.489177489;0.191388;3.351365597;3;0.191388;105
1452;8233;0.341991342;1.090909;12.14678106;3;0;106
1455;8597;0.367965368;0;4.246405137;2;0;107
1463;7310;0.584415584;3.703704;3.404444262;4;0;108
1464;6519;0.341991342;6.486486;7.283194245;2;1.891892;109
1465;6533;0.41991342;8.695652;8.109725234;2;0;110
443;6576;0.688311688;0;17.05965221;2;0;111
1467;6536;0.316017316;2.515723;5.063826957;3;0.503144;112
444;6547;0.523809524;2.162163;5.706675369;3;0;113
446;6688;0.489177489;6.206897;13.13121413;3;0;114
1470;7032;0.506493506;2.162163;2.493094613;2;0.945946;115
448;6497;0.298701299;0.606061;5.302167023;3;0;116
1472;6561;0.558441558;3.473685;8.185035999;3;3.473685;117
449;6863;0.619047619;8.969697;7.562335434;3;3.181818;118
1473;6576;0.307359307;0;8.644796937;3;0;119
450;6533;0.584415584;0;8.028888854;2;0;120
451;7021;0.385281385;1.22449;4.976955645;2;0;121
452;6500;0.463203463;5;9.032754993;1;5;122
453;6602;0.324675325;11.666667;13.5533515;2;5;123
455;6532;0.636363636;7.521367;6.454099636;2;1.367521;124
1480;6598;0.281385281;5.930233;5.975794374;2;0.465116;125
457;6501;0.506493506;8;21.9430458;3;8;126
458;6552;0.774891775;0.569105;9.693592117;2;0;127
1482;6579;0.584415584;4.067797;13.24729878;2;4.067797;128
459;6670;0.471861472;12.727273;5.94529605;3;3.636364;129
460;6565;0.601731602;1.726175;4.921864879;3;1.384742;130
461;6515;0.393939394;0;10.2759872;2;0;131
462;6509;0.316017316;4;9.867716605;3;4;132
463;6539;0.41991342;5.490196;3.872023822;3;0;133
464;6513;0.212121212;4.166667;5.922498132;2;1.111112;134
1488;6516;0.653679654;2.857143;9.487449788;3;0;135
465;6642;0.341991342;1.538462;3.775907304;3;1.538462;136
466;6720;0.670995671;7.878787;8.755048359;3;7.878787;137
1490;6484;0.324675325;0;6.19687819;3;0;138
467;6546;0.307359307;6.153846;9.346402671;2;4.615384;139
468;6583;0.506493506;1.666667;12.10154601;2;1.666667;140
469;6542;0.108225108;3.73913;10.24665898;3;0.434782;141
470;6574;0.134199134;1.005025;5.950139204;2;1.005025;142
1495;6558;0.238095238;0;7.263645197;3;0;143
472;6500;0.445887446;7.826087;4.855211878;4;0.869566;144
474;6609;0.350649351;2.745098;5.351518645;3;2.745098;145
1498;6530;0.567099567;0;2.923307828;2;0;146
475;6469;0.523809524;7.586207;7.742775234;2;4.655173;147
1499;6554;0.852813853;0.333333;1.875029815;3;0;148
476;6561;0.506493506;6.666667;8.473173221;2;6.666667;149
1500;6488;0.896103896;0;1.926535042;3;0;150
477;6541;0.696969697;0;15.30331021;3;0;151
479;6554;0.246753247;0.833334;6.616716775;3;0;152
480;7013;0.61038961;2.857143;8.20752072;2;1.428571;153
481;9114;0.480519481;0.333333;4.565222141;4;0.333333;154
1506;10610;0.67965368;0.143885;1.703557875;3;0.143885;155
1508;10491;0.653679654;1.592921;4.391153095;3;0.176991;156
1510;10605;0.67965368;0.238095;9.051416316;3;0.238095;157
1511;10526;0.480519481;0;4.312059547;3;0;158
1512;10546;0.393939394;1.132076;5.912560192;3;0;159
1513;10721;0.212121212;4.516129;5.5821103;2;4.516129;160
1516;10025;0.541125541;12.380952;10.75025304;2;12.380952;161
1517;9196;0.463203463;2.222223;8.912004399;2;2.222223;162
1518;9119;0.471861472;4;8.653169917;3;4;163
1519;9101;0.367965368;0;8.553322541;2;0;164
1520;8990;0.376623377;0;8.099412001;3;0;165
1523;8758;0.722943723;3.111112;10.11094147;2;0.444445;166
1524;8381;0.445887446;2.197802;9.797796373;3;0.659341;167
1547;7377;0.558441558;4.040404;9.701680327;4;3.501684;168
1549;7389;0.722943723;3.584906;5.505262595;2;0;169
1551;9053;0.454545455;11.666667;4.853644184;2;9.074074;170
1553;7809;0.54978355;9.514563;7.510353795;3;0;171
1554;9187;0.41991342;6.478874;6.876508992;2;6.478874;172
1555;9125;0.722943723;2.283737;4.292675754;2;0.276816;173
1556;9166;0.281385281;0;6.786381311;3;0;174
1559;9187;0.385281385;0;8.094643194;3;0;175
1565;9125;0.41991342;0;5.305593308;2;0;176
40496;6591;0.445887446;3.235294;12.52509763;3;0;177
40509;7236;0.194805195;0;5.878636203;4;0;178
1600;8048;0.54978355;0;5.275009955;3;0;179
682;7249;0.229437229;0;6.562479881;3;0;180
683;9318;0.480519481;0;10.35483882;3;0;181
685;9229;0.463203463;4.666666;18.17647038;2;4.666666;182
694;9009;0.463203463;1.234568;13.10845138;2;0;183
713;8966;0.064935065;0;7.503973865;3;0;184
714;8946;0.116883117;4.705882;5.688722639;3;0;185
715;8552;0.878787879;0;2.377281023;3;0;186
716;8608;0.705627706;0;5.951297619;3;0;187
717;7661;0.471861472;0;10.1581886;3;0;188
719;7849;0.203463203;8.421053;3.989863189;3;2.105263;189
721;8497;0.29004329;0;6.826431193;3;0;190
723;8369;0.922077922;0;1.549861066;6;0;191
724;8945;0.766233766;0;4.527892431;3;0;192
40660;6119;0.341991342;6.666666;11.22502812;3;2.222222;193
726;6216;0.670995671;0;3.753044918;3;0;194
40663;6245;0.619047619;0.714286;7.798713992;2;0.714286;195
729;6184;0.506493506;1.818182;7.543243171;3;1.818182;196
730;6443;0.80952381;2.777777;3.66669718;2;0;197
731;6202;0.038961039;9.230769;10.66235462;2;6.153846;198
732;6179;0.653679654;6.111111;3.735775764;3;0;199
733;6324;0.402597403;2.033898;10.91013872;3;0.338983;200
40669;6259;0.696969697;0.869565;3.71183721;2;0;201
40671;6166;0.835497835;0;2.67167482;3;0;202
736;6114;0.316017316;3.333333;6.615814613;3;0;203
738;6147;0.567099567;3.214285;3.611193283;2;0.714285;204
739;6127;0.0995671;10.666667;11.44713159;3;6.666667;205
740;6196;0.896103896;1.879195;1.811729095;2;0;206
743;6168;0.722943723;6.801347;4.500993836;3;0;207
744;6096;0.67965368;2.5;4.655760856;3;0;208
745;6268;0.800865801;0.444445;1.526484519;2;0.444445;209
40681;6281;0.705627706;1.111112;10.13269383;3;1.111112;210
746;6214;0.748917749;0;5.728812715;3;0;211
40682;6165;0.619047619;0.983606;11.70205656;2;0.655738;212
747;6220;0.445887446;0;3.23754471;2;0;213
40683;6154;0.515151515;2.5;3.92448973;3;1.666667;214
748;6172;0.393939394;0.869566;4.799021808;3;0;215
749;6614;0.800865801;3.401361;1.823442878;3;0;216
750;6074;-0.116883117;10.612245;5.578902893;2;5.578231;217
40686;6193;0.393939394;4.137931;7.852173299;3;2.758621;218
751;6199;0.878787879;0.201342;3.016487689;2;0;219
753;6130;0.151515152;6.428572;6.239321434;2;2.857143;220
754;6229;0.523809524;0;6.677609478;2;0;221
40690;6283;0.800865801;0.662252;7.080111195;3;0.662252;222
755;6113;0.212121212;7.5;6.118946972;3;2.5;223
756;6186;0.662337662;0;12.21054785;3;0;224
757;6169;0.41991342;0;4.774669342;2;0;225
40693;6479;0.731601732;0;6.499848256;3;0;226
758;6162;0.67965368;1.17647;8.980149916;2;0;227
759;6256;0.653679654;1.25;7.641860232;2;1.25;228
760;6147;0.333333333;0;11.23915345;3;0;229
762;6159;0.636363636;0;3.002951012;2;0;230
40698;6136;0.636363636;1.545894;4.740905179;2;1.545894;231
763;6144;0.653679654;0;2.957600897;3;0;232
764;6230;0.471861472;0.151515;2.623655988;2;0.151515;233
40700;6274;0.593073593;0;5.459416709;2;0;234
765;6200;0.636363636;1.428571;1.779436939;3;0;235
766;6612;0.87012987;0;3.020289797;3;0;236
767;6152;0.601731602;0.571429;1.862936682;2;0.571429;237
768;6088;0.272727273;2.962963;5.697044378;3;2.962963;238
