DataId; RankerBuildTimes; KendallRankCorrelation; Loss; BestThreeLoss;ID
1025;101;0.220779221;2.033898;2.033898;1
2;85;0.376623377;11.406844;0;2
1026;84;0.445887446;0.465116;0.465116;3
4;85;0.584415584;1.333333;1.333333;4
7;84;0.021645022;10.344827;10.344827;5
9;91;0.515151515;0;0;6
10;100;0.393939394;7.619048;1.428572;7
11;79;0.523809524;2.404372;0;8
40971;100;0.489177489;0;0;9
13;85;0.064935065;2.650602;2.650602;10
15;78;0.523809524;0.386474;0;11
1045;77;0.16017316;2.92683;1.95122;12
40981;101;-0.238095238; NaN; NaN;13
1048;100;0.142857143;0;0;14
25;85;0.333333333;0;0;15
27;85;0.281385281;2.990654;2.990654;16
29;84;0.471861472;2.549019;1.764706;17
1054;82;-0.090909091;0;0;18
31;78;0.471861472;0;0;19
1055;100;-0.073593074;4.166667;0.833334;20
34;85;-0.151515152;4.8;4;21
40994;78;-0.298701299; NaN; NaN;22
35;85;0.471861472;1.584158;0.990099;23
1059;80;0.177489177;1.818182;0;24
1060;84;0.298701299;1.25;1.25;25
37;84;0.515151515;0.614035;0;26
1061;85;0.125541126;0;0;27
1062;85;0.125541126;10;7.5;28
39;83;0.731601732;0.851064;0;29
1063;74;0.385281385;0;0;30
40;84;0.255411255;17;6;31
1064;78;-0.0995671;5.185185;0;32
41;85;0.584415584;0;0;33
1065;84;0.177489177;1.044776;0.298507;34
42;78;0.073593074;1.538462;1.538462;35
1066;83;0.264069264;0.487805;0.487805;36
43;85;-0.056277056;8.539326;1.797753;37
1071;82;0.047619048;1.186441;1.186441;38
48;85;0.480519481;3.902439;3.414634;39
49;84;0.748917749;3.863637;1.136364;40
1073;78;0.194805195;6.75;1.25;41
50;74;0.073593074;29.507042;29.507042;42
51;101;0.523809524;4.235294;4.235294;43
1075;83;0.116883117;0;0;44
52;69;0.298701299;20;10;45
53;132;0.471861472;2.025316;0.253164;46
54;116;0.54978355;0;0;47
55;84;0.324675325;2.325582;0;48
56;116;-0.272727273;7.5;7.5;49
4153;85;0.506493506;0.833333;0.833333;50
59;84;0.506493506;0;0;51
61;78;0.480519481;1.904762;0;52
62;100;0.324675325;6.956522;0;53
1100;81;0.004329004;7.142857;4.142857;54
1115;85;0.194805195;39.02439;32.682927;55
1117;79;0.463203463;0;0;56
1121;85;0.437229437;0;0;57
1167;84;0.186147186;2.365591;2.365591;58
163;78;0.090909091;12;12;59
164;81;0.428571429;0;0;60
171;84;0.047619048;2.168675;0;61
172;81;0.203463203;50;30;62
186;85;0.307359307;1.016949;1.016949;63
187;85;0.393939394;98.367347;0;64
188;100;0.61038961;0.465116;0;65
6332;85;-0.012987013;4.150944;1.509434;66
4329;101;0.090909091;1.151079;0.719425;67
4340;84;0.281385281;5.892857;1.25;68
275;78;0.411255411;8.888889;7.777778;69
276;85;0.151515152;6.31579;6.31579;70
277;84;0.445887446;4.444444;4.444444;71
278;98;0.445887446;3.333333;0;72
285;104;0.662337662;0.4;0.4;73
307;84;0.255411255;2.167832;2.167832;74
311;85;0.177489177;0.57554;0.503597;75
327;78;0.515151515;1.73913;1.73913;76
328;85;0.246753247;6.956521;0.869565;77
329;85;0.333333333;15.454546;15.454546;78
333;85;-0.082251082;25.121951;25.121951;79
334;85;-0.082251082;38.19209;38.19209;80
335;84;-0.064935065;2.453988;2.453988;81
336;78;0.038961039;4.155844;4.155844;82
337;85;0.142857143;11.568627;0;83
338;85;0.480519481;0.5;0.5;84
339;94;0.281385281;13.333334;13.333334;85
340;84;0.367965368;9.09091;9.09091;86
342;100;0.341991342;6.153846;6.153846;87
343;100;0.41991342;11.25;3.75;88
346;116;-0.012987013;10;10;89
374;84;0.87012987;75;75;90
376;103;0.87012987;82.352941;82.352941;91
377;85;0.333333333;1.264367;1.264367;92
379;85;0.87012987;55.555556;55.555556;93
380;131;0.87012987;71.428571;71.428571;94
1412;100;0.359307359;0;0;95
1413;84;0.480519481;1.904762;0;96
1441;74;0.151515152;0;0;97
1442;78;0.238095238;1.095891;1.095891;98
1443;85;0.41991342;0;0;99
1446;85;0.056277056;0.930233;0.930233;100
1447;84;0.16017316;1.263158;1.263158;101
1448;89;0.168831169;2.181818;2.181818;102
1449;73;0.238095238;1.095891;1.095891;103
1450;84;0.212121212;6.285714;0;104
1451;85;0.272727273;0.191388;0;105
1452;85;0.194805195;0.181819;0;106
1455;84;0.506493506;0;0;107
1463;97;-0.056277056;11.111111;11.111111;108
1464;68;0.108225108;5.765766;1.891892;109
1465;85;0.229437229;0;0;110
443;78;0.54978355;0;0;111
1467;84;0.012987013;2.515723;0.503144;112
444;85;0.021645022;3.243244;2.702703;113
446;85;0.627705628;0.689655;0.689655;114
1470;66;0.238095238;1.351352;1.351352;115
448;84;0.203463203;0;0;116
1472;85;0.082251082;5.263158;5.263158;117
449;85;0.220779221;8.474747;4.494949;118
1473;85;0.203463203;2.962963;0;119
450;85;0.393939394;1.052632;1.052632;120
451;112;0.168831169;1.360544;1.22449;121
452;84;0.567099567;6.842106;0;122
453;84;0.0995671;13.333334;13.333334;123
455;85;0.454545455;1.709401;1.709401;124
1480;97;0.082251082;0.581395;0.465116;125
457;85;0.220779221;8;8;126
458;70;0.324675325;1.300813;0.650406;127
1482;97;0.41991342;0;0;128
459;85;0.316017316;9.090909;3.636364;129
460;84;0.316017316;1.384742;0;130
461;85;-0.056277056;12.592593;3.703704;131
