@relation MetaDataOpenML

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute ClassEntropy numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute DefaultAccuracy numeric
@attribute Dimensionality numeric
@attribute EquivalentNumberOfAtts numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxAttributeEntropy numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxMutualInformation numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanMutualInformation numeric
@attribute MeanNoiseToSignalRatio numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinAttributeEntropy numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinMutualInformation numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1AttributeEntropy numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2MutualInformation numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3AttributeEntropy numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3MutualInformation numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.GaussianProcesses numeric
@attribute weka.classifiers.functions.LinearRegression numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLinearRegression numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.M5Rules numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.M5P numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric
@attribute weka.classifiers.trees.REPTree numeric

@data
0.606466,?,?,?,0.906774,0.132517,0.619102,0.906774,0.132517,0.619102,0.906774,0.132517,0.619102,1.189834,0.865274,0.228285,0.450333,?,0.04343,26.839184,0.939159,0.103563,0.70433,0.939159,0.103563,0.70433,0.939159,0.103563,0.70433,0.761693,684,1.821522,?,?,13.215477,1263.094655,0.40909,7,3.761602,1871.399107,0.251535,?,?,4.648024,348.504268,0.044332,4.6739,1.636364,2.026983,405.17327,-0,?,?,-0.972384,1.198549,0,0,0.07299,0.871208,0.008909,8,0.931591,0.246102,0.556959,4,5,39,898,898,22175,6,33,0.102564,1,0.633173,0.153846,0.846154,0,-0.40305,3.025695,0,0.967385,10.505436,0,1.637244,21.22216,0,1.654731,69.853385,0.238563,12.741748,901.263669,0.020647,3.754644,771.859043,0.96268,0.084633,0.768583,0.96268,0.084633,0.768583,0.96268,0.084633,0.768583,0.9297,0.080178,0.795325,0.9297,0.080178,0.795325,0.9297,0.080178,0.795325,?,?,1.557606,0.872195,0.063474,0.82611,93.307985,75.665399,0,0,0,87.680608,99.087452,0,86.539924,0,88.136882,0,95.361217,0.380228,96.121673,95.437262,0,84.790875,94.980989,77.56654,77.338403,92.243346,95.741445,0,94.828897,93.612167,92.471483
0.999061,?,?,?,0.961912,0.059136,0.881192,0.961912,0.059136,0.881192,0.961912,0.059136,0.881192,0.998576,0.671403,0.339487,0.339644,?,0.011577,52.140402,0.996062,0.007822,0.984326,0.996062,0.007822,0.984326,0.996062,0.007822,0.984326,0.522215,1669,0.995652,?,?,?,?,0.198267,3,?,?,0.590148,?,?,?,?,0.019152,29.814463,2.027027,?,?,0.004094,?,?,?,?,0,2,?,?,0.477785,1527,0.952042,0.121089,0.756971,35,2,37,3196,0,0,0,37,0.945946,0,0,0,1,0.28756,?,?,0.000778,?,?,0.6795,?,?,0.005426,?,?,0.913233,?,?,0.018486,?,?,0.997616,0.013767,0.972417,0.997616,0.013767,0.972417,0.997616,0.013767,0.972417,0.945136,0.054443,0.89085,0.945136,0.054443,0.89085,0.945136,0.054443,0.89085,?,?,0.164399,0.972843,0.069149,0.860968,87.970711,87.887029,0,0,0,97.405858,99.288703,96.67364,95.230126,0,96.589958,93.200837,95.125523,96.192469,97.008368,99.16318,0,67.698745,98.933054,52.196653,65.983264,99.267782,99.644351,0,99.058577,95.627615,98.472803
0.75,?,?,?,0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.934849,0.737838,0.315789,0.322325,?,0.298246,9.288287,0.805405,0.280702,0.410853,0.805405,0.280702,0.410853,0.805405,0.280702,0.410853,0.649123,37,1.560505,?,?,13.193069,38.039216,0.244473,3,3.318064,5.027701,1.038393,?,?,2.046258,9.412291,0.100648,9.317054,2.555556,0.255076,2.23551,0.297472,?,?,-2.035406,2.160714,0.010175,2,-2.007217,0.707795,0.350877,20,0.944595,0.070175,0.845946,4,2,17,57,56,326,8,9,0.235294,0.982456,0.336429,0.470588,0.529412,0.62449,-1.413442,3.831012,0.033696,-0.563056,1.18797,1.08896,-0.263439,4.421353,0.079708,0.15855,1.337455,1.480498,5.180464,10.181866,0.158428,0.80866,4.034546,0.604054,0.210526,0.515581,0.604054,0.210526,0.515581,0.604054,0.210526,0.515581,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,?,?,0.527046,0.767568,0.210526,0.55814,90.666667,92,0,0,0,88,89.333333,90.666667,90.666667,0,92,78.666667,88,93.333333,81.333333,86.666667,0,70.666667,81.333333,66.666667,80,86.666667,92,0,86.666667,81.333333,85.333333
0.354767,?,?,?,0.765397,0.309735,0.517551,0.765397,0.309735,0.517551,0.765397,0.309735,0.517551,2.401386,0.601558,0.433628,0.187535,?,0.619469,150.934641,0.738342,0.34292,0.479549,0.738342,0.34292,0.479549,0.738342,0.34292,0.479549,0.542035,245,0.992516,?,?,452,367.207965,0.096307,13,21.260292,127.220248,0.074612,?,?,50.388651,14.348605,0.01591,3.689591,2.027027,1.327008,9.970201,-0,?,?,-1.635151,-23.499115,0,1,-21.260292,0,0.004425,2,0.786228,0.396018,0.406572,73,13,280,452,384,408,206,74,0.260714,0.849558,0.003224,0.735714,0.264286,0.022702,2.165154,0,0.004994,-0.66931,0.96927,0.057565,7.218928,0.931969,0.012681,0.354884,3.48159,0.087754,31.709014,19.962389,0.024239,2.579932,16.450762,0.738092,0.349558,0.445902,0.738092,0.349558,0.445902,0.738092,0.349558,0.445902,0.621706,0.506637,0.232967,0.621706,0.506637,0.232967,0.621706,0.506637,0.232967,?,?,1.334197,0.59857,0.464602,0.212779,72.622951,65.737705,0,0,0,57.704918,67.704918,0,71.47541,0,74.098361,0,54.42623,60.491803,67.540984,70.327869,0,62.295082,66.065574,59.016393,60,68.360656,74.098361,0,69.344262,56.393443,69.016393
0.040902,?,?,?,0.94253,0.15215,0.841757,0.94253,0.15215,0.841757,0.94253,0.15215,0.841757,4.699811,0.657455,0.9293,0.03277,?,0.00085,?,0.937968,0.15865,0.834998,0.937968,0.15865,0.834998,0.937968,0.15865,0.834998,0.04065,813,?,?,?,2.075245,8.33885,?,26,1.159975,3.304555,-1,?,?,0.697738,5.925466,?,?,26,0.290297,2.273771,?,?,?,-0.421179,3.0461,?,26,-0.310079,1.546722,0.0367,734,0.955921,0.36025,0.625325,0,26,17,20000,0,0,16,1,0,0,0,0.941176,0.058824,?,0.309132,4.174812,?,-0.13733,2.017439,?,0.885304,5.913225,?,0.254335,2.293372,?,1.172839,7.726012,?,0.653378,2.547423,0.95443,0.20315,0.788715,0.95443,0.20315,0.788715,0.95443,0.20315,0.788715,0.908014,0.1769,0.816017,0.908014,0.1769,0.816017,0.908014,0.1769,0.816017,?,?,0,0.973102,0.05785,0.939834,74.186944,63.893271,55.230743,0,0,77.345192,82.295687,0,81.718409,0,77.325055,0,95.254237,95.200537,63.409968,84.436986,0,17.123678,87.430777,4.061084,7.061588,86.930693,90.941433,0,95.610002,84.564524,82.480282
0.993513,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.075926,?,?,?,?,?,?,?,?,?,?,0.138889,150,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.097222,105,?,?,?,3,8,82,1080,528,1396,77,5,0.036585,0.488889,0.015763,0.939024,0.060976,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,94.057508,?,0,0,0,99.488818,0,?,0,0,100,0,98.977636,99.169329,96.86901,96.102236,0,14.057508,100,14.057508,28.115016,100,100,0,100,71.309904,14.057508
0.324444,3600,720,144,0.758368,0.535398,0.305939,0.950789,0.340708,0.593592,0.898547,0.300885,0.642347,3.421947,0.758368,0.535398,0.305939,0.252212,0.309735,24.870653,0.920832,0.256637,0.699606,0.920832,0.256637,0.699606,0.920832,0.256637,0.699606,25.221239,57,2.171248,24,?,0,0,0.903441,6,0,0,0.318115,2.542857,?,0,0,0.13759,1.312057,2.231884,0,0,0.040972,2,?,0,0,0.008835,2,0,0,0.004425,1,0.946542,0.380531,0.532923,61,24,70,226,222,317,0,70,87.142857,98.230088,2.003793,0,100,0.040972,0,0,0.020931,0,0,0.073066,0,0,0.04754,0,0,0.299411,0,0,0.141962,0,0,0.902972,0.29646,0.645328,0.902972,0.29646,0.645328,0.902972,0.29646,0.645328,0.795065,0.393805,0.533177,0.795065,0.393805,0.533177,0.795065,0.393805,0.533177,2.70633,?,0.750391,0.871837,0.265487,0.685827,72.758621,71.724138,0,0,0,78.62069,83.103448,0,80,0,82.758621,0,79.310345,81.724138,64.137931,68.275862,0,50,75.862069,27.586207,50,78.275862,82.758621,0,77.241379,66.551724,73.448276
0.632353,?,?,?,0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,2.272474,0.693905,0.55122,0.21368,?,0.126829,7.907213,0.856696,0.312195,0.598015,0.856696,0.312195,0.598015,0.856696,0.312195,0.598015,0.326829,67,4.11792,?,?,5.305682,13207.129353,0.921073,22,2.610862,7947.066342,1.392578,?,?,1.359319,1447.091008,0.287393,3.84556,6,0.799581,606.987934,0.110145,?,?,-0.828945,3.255423,0.040981,2,-0.683122,0.273539,0.014634,3,0.836849,0.419512,0.462467,4,6,26,205,46,59,15,11,0.153846,0.22439,0.011069,0.576923,0.423077,0.626161,-0.042854,25.219512,0.057898,0.073237,2.443522,1.185213,0.578648,98.756585,0.220605,0.681398,6.886443,1.797437,2.62328,174.049268,0.424032,1.391029,41.642693,0.803721,0.439024,0.417632,0.803721,0.439024,0.417632,0.803721,0.439024,0.417632,0.842526,0.268293,0.651436,0.842526,0.268293,0.651436,0.842526,0.268293,0.651436,?,?,5.796551,0.825862,0.258537,0.666329,64.727273,57.090909,0,0,0,71.636364,76.363636,0,68.363636,0,75.636364,0,73.454545,72,63.272727,73.090909,0,59.272727,69.818182,34.545455,45.818182,76.727273,77.454545,0,79.272727,69.454545,60.363636
0.503401,?,?,?,0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,1.227678,0.771566,0.243243,0.531646,?,0.128378,9.376802,0.803504,0.243243,0.55,0.803504,0.243243,0.55,0.803504,0.243243,0.55,0.547297,81,2.527126,?,?,29.749465,2.601351,0.401884,8,5.442362,1.905023,1.117406,?,?,9.883463,2.045045,0.130927,7.534568,3,2.326489,1.018402,0.274803,?,?,-0.504096,1.060811,0.02912,2,0.333795,0.313557,0.013514,2,0.908328,0.155405,0.701482,9,4,19,148,0,0,3,16,0.473684,0,0,0.157895,0.842105,0.740448,-0.504096,1.060811,0.063795,0.333795,0.313557,0.991553,0.405021,2.472973,0.135651,1.203312,0.836627,1.608259,29.749465,2.601351,0.173688,5.442362,1.905023,0.746658,0.290541,0.430362,0.746658,0.290541,0.430362,0.746658,0.290541,0.430362,0.757621,0.243243,0.529536,0.757621,0.243243,0.529536,0.757621,0.243243,0.529536,?,?,1.591645,0.827738,0.195946,0.623707,84.761905,81.428571,0,0,0,79.047619,83.333333,0,85.238095,0,83.333333,0,84.285714,86.666667,73.333333,77.142857,0,74.285714,79.047619,54.761905,70.952381,73.809524,83.333333,0,82.380952,66.190476,73.333333
0.697115,?,?,?,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,1.318116,0.646919,0.376,0.302671,?,0.008,?,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.4608,288,?,?,?,-1.300798,3,?,3,0,1.415346,-1,?,?,-1.300798,3,?,?,3,0,1.415346,?,?,?,-1.300798,3,?,3,0,1.415346,0.0784,49,0.963095,0.104,0.807122,0,3,5,625,0,0,4,1,0,0,0,0.8,0.2,?,-1.300798,3,?,0,1.415346,?,-1.300798,3,?,0,1.415346,?,-1.300798,3,?,0,1.415346,0.852567,0.2144,0.602374,0.852567,0.2144,0.602374,0.852567,0.2144,0.602374,0.834431,0.2144,0.625732,0.834431,0.2144,0.625732,0.834431,0.2144,0.625732,?,?,0,0.923201,0.1648,0.702793,75.191257,90.054645,87.540984,0,0,90.273224,91.256831,0,88.852459,0,88.087432,0,83.715847,88.961749,75.081967,79.562842,0,60.546448,82.73224,46.448087,59.344262,76.721311,89.617486,0,80.765027,77.486339,77.26776
