REPTreeDepth3, 2 folds;J48.0001., 2 folds;DefaultAccuracy;NominalAttDistinctValues;RandomTreeDepth1, 2 folds;Cardinality;RandomTreeDepth3, 2 folds;CfsSubsetEval_NaiveBayes, 2 folds;J48.001., 2 folds;J48.00001., 2 folds;DecisionStump, 2 folds;SimpleMetaFeatures;RandomTreeDepth2, 2 folds;NaiveBayes, 2 folds;CfsSubsetEval_DecisionStump, 2 folds;CfsSubsetEval_kNN1N, 2 folds;REPTreeDepth1, 2 folds;Statistical;kNN1N, 2 folds;REPTreeDepth2, 2 folds;;
60;67;3;0;22;19;26;125;201;71;54;16;16;100;83;1096;56;69;1118;67;;
4;3;0;0;4;1;4;38;4;3;5;0;4;4;32;49;2;2;12;3;;
20;13;2;6;17;10;11;47;8;13;12;3;11;92;53;102;33;0;91;19;;
5;12;0;1;3;4;4;41;10;7;7;1;6;42;41;55;8;10;10;7;;
3;15;1;1;2;0;4;29;4;3;2;1;1;4;31;26;7;1;7;2;;
5;10;2;0;6;0;3;47;16;13;3;1;5;6;41;62;6;15;38;6;;
3;4;1;2;3;0;6;26;19;4;2;1;3;3;27;33;8;0;10;3;;
6;9;3;0;5;2;5;32;9;8;9;2;5;11;42;44;5;21;44;6;;
24;6;1;3;25;3;6;63;6;9;6;1;9;7;41;45;19;3;45;29;;
7;32;1;1;9;3;9;26;13;16;2;1;10;6;48;32;10;3;25;9;;
0;9;0;2;29;0;16;35;12;0;6;2;15;16;41;42;10;12;66;0;;
15;21;2;0;13;6;10;38;21;18;6;15;10;20;65;32;14;0;139;14;;
1;2;0;0;2;1;1;22;1;1;1;0;2;2;28;26;4;1;2;1;;
6;3;1;1;3;2;3;39;7;5;3;1;1;24;76;41;8;0;24;4;;
7;8;1;0;5;5;7;35;6;10;4;1;6;10;32;28;6;6;49;4;;
2;3;1;0;3;0;2;34;5;3;2;1;2;24;32;25;3;2;33;2;;
16;8;0;0;2;0;0;45;9;0;7;1;0;35;40;45;4;10;22;2;;
0;0;0;0;0;0;0;37;0;0;0;0;0;0;31;32;0;0;15;16;;
10;12;1;0;8;3;6;55;18;14;15;0;8;69;39;59;16;0;78;10;;
2;1;1;1;1;0;1;27;1;3;0;1;3;3;21;22;1;0;8;1;;
2;2;0;0;1;0;1;34;2;2;0;0;1;2;24;32;2;3;4;1;;
2;5;0;1;3;1;1;37;5;3;3;1;2;11;36;40;3;1;17;2;;
5;4;1;1;4;1;3;30;10;3;4;0;3;4;33;38;8;1;105;4;;
3;3;1;1;3;0;2;27;8;3;2;0;3;12;34;32;3;2;16;2;;
0;1;0;0;0;0;1;28;1;0;1;0;1;1;23;27;0;0;1;0;;
0;0;0;1;0;0;0;22;0;16;3;0;0;8;24;31;0;15;11;0;;
16;16;0;0;15;16;0;47;31;31;0;0;0;47;38;69;16;0;53;22;;
0;0;0;0;0;0;0;31;0;0;0;0;15;0;32;33;0;0;0;0;;
19;4;0;1;4;0;1;23;18;2;1;0;3;3;52;32;5;0;15;3;;
6;15;0;0;4;2;5;58;13;14;0;0;4;16;41;46;7;0;16;7;;
1;1;1;0;1;0;0;22;1;0;1;0;1;2;23;25;0;0;2;0;;
0;2;1;0;1;0;1;30;2;2;1;0;1;8;26;30;1;0;3;1;;
0;2;0;0;1;0;1;25;1;2;1;0;1;5;34;36;1;0;2;1;;
1;1;0;0;1;1;1;24;1;2;1;0;1;13;35;24;2;0;7;1;;
5;6;1;0;5;0;5;42;9;6;2;0;4;35;28;72;7;0;10;4;;
0;0;0;0;1;0;1;21;0;1;0;0;0;1;22;22;0;0;1;0;;
6;3;0;0;2;0;3;28;3;6;1;0;3;12;23;30;2;1;18;2;;
0;0;0;0;0;0;16;31;0;0;0;0;0;0;15;16;0;1;0;0;;
7;22;1;0;7;1;5;47;20;18;15;0;8;16;48;22;10;0;47;11;;
4;7;0;0;2;1;1;65;6;6;3;0;1;19;33;33;3;2;4;4;;
3;6;0;0;2;1;1;27;6;5;2;0;2;8;35;33;2;2;3;2;;
3;4;0;0;2;1;2;29;4;4;2;0;1;8;30;29;3;3;2;3;;
4;6;0;0;0;1;2;25;2;7;1;0;4;9;24;29;2;2;3;3;;
1;2;1;1;2;0;3;25;2;4;1;0;3;7;25;27;1;0;5;1;;
13;20;1;0;7;2;7;66;32;26;22;0;9;32;47;31;12;0;47;11;;
15;16;0;0;0;0;0;22;16;16;0;0;0;31;31;32;15;15;85;22;;
0;0;0;0;0;0;0;20;0;0;0;0;0;16;18;15;0;0;0;0;;
0;0;0;0;0;0;0;31;0;0;0;0;0;0;23;15;0;0;0;0;;
0;0;0;0;0;0;0;31;0;0;0;0;0;0;22;16;0;0;0;0;;
0;0;0;0;16;0;0;32;0;0;0;0;0;0;6;15;0;0;16;0;;
16;0;0;0;0;0;0;22;0;0;0;0;0;16;16;15;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;15;16;16;0;16;0;;
2;2;0;0;1;0;1;31;3;2;0;0;1;0;37;31;2;0;16;1;;
0;16;0;0;0;0;15;38;16;5;0;0;17;16;31;31;0;0;31;0;;
0;1;0;0;1;0;0;15;0;1;0;0;1;0;16;16;16;0;0;2;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;15;0;0;0;0;;
0;15;0;0;0;0;0;31;0;0;0;0;0;0;16;16;0;0;0;0;;
0;0;0;0;15;0;0;15;0;0;0;0;0;0;23;63;0;0;0;0;;
0;0;0;0;0;0;0;38;0;16;0;0;0;0;15;16;0;15;0;0;;
0;0;0;0;0;0;0;32;0;0;0;0;0;0;21;15;0;0;0;0;;
0;0;0;0;0;0;0;15;0;0;1;0;0;1;25;16;0;0;10;0;;
0;0;0;0;0;0;0;25;0;0;0;0;0;0;17;31;0;0;0;0;;
0;31;0;0;0;4;16;101;22;32;0;0;0;154;78;99;16;31;69;0;;
0;0;0;0;0;0;0;15;0;1;0;0;15;0;16;16;0;0;0;0;;
1;0;0;0;1;0;1;16;0;0;1;0;1;0;21;17;0;0;5;0;;
0;16;0;0;0;0;1;31;0;1;0;0;1;0;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;16;0;;
0;0;0;0;0;0;0;31;0;15;0;0;0;0;16;16;0;1;2;0;;
0;0;0;0;0;0;0;32;0;16;0;0;0;0;15;15;0;0;0;0;;
0;0;0;0;0;0;0;31;0;0;16;0;0;0;38;31;0;1;0;15;;
0;0;0;0;0;0;0;22;0;0;0;0;0;15;31;16;0;0;0;0;;
0;15;0;0;0;0;0;16;0;0;0;0;0;0;16;22;0;0;15;0;;
0;17;0;0;0;0;0;16;0;0;0;0;1;5;31;31;0;0;17;4;;
0;1;0;0;1;0;0;31;1;0;0;15;0;0;19;16;0;0;0;0;;
15;16;0;0;0;0;0;15;0;0;0;0;0;0;34;32;0;0;15;0;;
0;0;0;0;0;0;0;17;0;0;0;0;0;0;16;25;0;0;0;0;;
16;36;0;0;16;0;0;100;37;34;6;0;0;79;85;78;0;16;238;14;;
1;0;0;0;0;0;0;15;0;0;0;0;0;0;37;16;1;0;0;1;;
0;0;0;0;0;0;0;22;15;16;15;0;0;0;16;47;0;0;0;0;;
0;0;0;0;0;0;0;6;0;0;0;0;0;0;32;22;0;0;0;0;;
0;0;0;0;0;0;0;23;0;0;0;0;0;0;31;15;0;0;0;0;;
0;0;0;0;0;0;16;15;0;0;0;0;15;0;32;38;0;0;0;0;;
0;17;0;0;0;0;0;32;0;2;0;0;2;0;15;31;0;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;37;31;0;0;0;0;;
4;6;0;0;4;1;3;27;7;7;0;0;3;0;29;40;4;0;15;4;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;31;0;0;0;0;;
0;0;0;0;0;0;0;47;0;0;1;0;0;1;31;9;0;1;1;0;;
4;3;0;0;3;0;3;31;6;5;0;0;5;15;47;16;3;0;16;4;;
0;0;0;0;0;0;0;21;0;16;1;0;0;4;10;22;15;2;50;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;16;0;0;0;0;;
16;16;0;0;0;0;0;22;0;0;0;0;0;0;31;31;0;0;16;0;;
0;0;0;0;0;0;0;32;0;0;0;0;16;2;15;3;0;0;17;0;;
0;0;0;0;0;0;0;32;0;0;0;0;0;0;15;21;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;38;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;31;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;31;0;0;0;0;;
0;2;0;0;1;0;0;16;16;1;0;0;1;0;15;31;0;0;0;1;;
16;0;0;0;0;1;0;11;0;0;0;0;0;0;16;29;0;0;0;0;;
0;0;0;0;0;0;15;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;31;22;0;0;0;0;;
