DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RankerPredictTimes; BestThreeLoss
1025;58887;0.177489177;2.203389;12;1.016949
2;56573;0.264069264;14.296577;2;2.965779
1026;57431;-0.168831169;0;2;0
4;57094;0.142857143;1.333333;3;1.333333
7;57443;-0.0995671;0.344827;1;0.344827
9;54989;0.082251082;1.818182;1;1.818182
10;55865;0.056277056;86.666667;1;7.619048
11;56149;0.021645022;1.202186;1;1.202186
40971;61019;0.359307359;1.384615;1;0
13;57513;-0.0995671;2.650602;1;2.650602
15;59431;0.021645022;0;1;0
1045;55695;0.073593074;0.97561;1;0.97561
40981;60982;0.316017316; NaN;1; NaN
1048;62088;0.056277056;9.629629;3;3.888889
25;57433;0.324675325;2.803738;1;2.803738
27;57973;0.151515152;8.411215;1;4.859813
29;55216;0.194805195;2.352941;1;2.352941
1054;56096;-0.012987013;1.333333;1;0.444444
31;59159;-0.047619048;3.75839;1;3.691275
1055;57581;0.090909091;6.666667;1;0.833334
34;56001;0.090909091;4;3;0
40994;55129;-0.29004329; NaN;1; NaN
35;56721;-0.064935065;0.792079;1;0.792079
1059;57877;-0.212121212;6.060606;1;1.212121
1060;56119;-0.047619048;6.25;1;6.25
37;56520;0.134199134;2.982456;2;0.438596
1061;56203;-0.168831169;7.333333;1;1.333333
1062;56700;0.038961039;10;1;5
39;55437;0.281385281;0;1;0
1063;56268;-0.108225108;5.324675;1;0
40;57320;-0.047619048;11.333333;1;1.666667
1064;57247;0.116883117;2.962963;1;2.962963
41;55590;0.03030303;12.363636;1;0
1065;55473;0.350649351;0;1;0
42;55124;0.151515152;93.846154;1;0
1066;56083;-0.090909091;9.756098;1;3.902439
43;54890;0.021645022;2.921348;1;0
1071;54655;-0.212121212;18.305085;1;1.694915
48;56273;-0.012987013;9.756097;1;7.804878
49;55653;0.03030303;87.045455;1;0.227273
1073;55265;0.0995671;6.75;1;2.25
50;56395;0.03030303;1.830986;1;0.28169
51;57467;-0.064935065;85.411765;2;0
1075;55322;-0.116883117;8.888888;1;0
52;55548;0.264069264;0;1;0
53;55957;0.212121212;1.012658;3;1.012658
54;56568;-0.004329004;11.532259;1;11.532259
55;57063;0.177489177;0.465116;1;0.465116
56;56712;0.116883117;1.5625;1;1.5625
4153;55706;-0.142857143;13.333333;1;1.666666
59;57769;-0.082251082;28.82353;1;8.82353
61;55833;-0.125541126;2.380952;1;1.904762
62;55272;0.264069264;3.478261;1;0.869566
1100;57880;0.004329004;56.714286;1;4.571429
1115;57672;0.246753247;34.634147;1;7.804878
1117;55887;0.142857143;14;1;14
1121;55900;0.168831169;0.232558;1;0
1167;55006;-0.307359307;4.731182;1;3.655914
163;57321;-0.116883117;64;1;12
164;57759;0.0995671;0.714286;1;0.714286
171;55505;-0.151515152;50.60241;1;6.746988
172;55018;0.281385281;30;1;30
186;54803;0.073593074;2.033898;1;1.525424
187;54613;0.220779221;0.408163;1;0
188;56217;0.29004329;0;1;0
6332;56508;0.134199134;26.037736;1;1.509434
4329;56793;0.108225108;4.316547;1;0.57554
4340;56282;0.125541126;15;1;1.25
275;56336;-0.038961039;7.777778;1;0
276;56121;0.021645022;15.789474;1;7.368422
277;54374;0.012987013;13.333333;1;6.666666
278;56108;-0.004329004;8.888889;1;4.444444
285;55612;0.238095238;4.8;1;1.6
307;55405;0.047619048;0;1;0
311;59479;0.064935065;0.359713;1;0.359713
327;57524;-0.004329004;72.173913;1;1.73913
328;57242;-0.125541126;69.565217;1;3.47826
329;55621;0.255411255;1.818182;1;1.818182
333;57185;-0.142857143;26.463415;1;15.243902
334;56673;0.116883117;39.20904;1;33.898305
335;56581;0.047619048;99.018405;1;0
336;55960;-0.047619048;3.116883;1;3.116883
337;55987;0.134199134;4.117647;1;4.117647
338;55026;-0.324675325;49.5;1;9
339;58046;-0.151515152;6.666667;1;6.666667
340;55012;-0.012987013;20;1;7.272728
342;56326;-0.108225108;12.307692;1;4.615385
343;55474;-0.168831169;77.5;1;11.25
346;57691;-0.012987013;13.333333;3;6.666667
374;58138;0.974025974;0;3;0
376;57297;1;0;1;0
377;55957;-0.229437229;3.103448;2;3.103448
379;56487;1;0;1;0
380;57314;1;0;1;0
1412;56307;0.038961039;6.153846;1;2.461539
1413;55512;-0.116883117;2.380952;1;1.904762
1441;55682;0.142857143;4.117647;1;4.117647
1442;55821;0.03030303;13.69863;1;5.479452
1443;54573;-0.012987013;1.025641;1;0.923076
1446;56463;0.298701299;0.465116;1;0.465116
1447;57583;0.497835498;0.421053;2;0
1448;56119;0.359307359;1.090909;1;0.727273
1449;56113;0.03030303;13.69863;1;5.479452
1450;56572;-0.004329004;0;1;0
1451;57291;0.090909091;0.287081;1;0
1452;55941;0.194805195;2.363637;1;0
1455;55203;0.082251082;4.705882;1;0
1463;56359;-0.125541126;11.111111;1;11.111111
1464;56923;-0.108225108;4.054054;1;3.423423
1465;54666;-0.004329004;7.826087;1;0
443;55639;0.238095238;12.5;1;0
1467;57299;0.246753247;0;1;0
444;54395;0.29004329;0;1;0
446;55463;-0.134199134;30.344828;1;12.413793
1470;54154;-0.03030303;1.351352;1;1.351352
448;53958;-0.03030303;0.606061;1;0.606061
1472;55689;0.229437229;10.210527;1;3.368421
449;54676;0.246753247;64.282828;1;3.181818
1473;55401;0.090909091;4.444445;1;0
450;54852;-0.004329004;0.526316;1;0.526316
451;54428;-0.056277056;1.632653;1;0
452;54174;0.177489177;5;1;5
453;53559;-0.16017316;11.666667;1;11.666667
455;57223;-0.082251082;82.393162;1;1.880341
1480;54984;0.203463203;5.581395;1;0.116279
457;56013;0.194805195;8;1;8
458;57537;0.359307359;1.138211;1;0.650406
1482;55985;-0.194805195;80;1;21.016949
459;56620;0.090909091;3.636364;1;3.636364
460;57961;-0.090909091;0;1;0
461;55198;-0.056277056;0;2;0
462;55728;0.229437229;4;1;4
463;57532;-0.437229437;11.372549;1;5.098039
464;54035;0.264069264;0;1;0
1488;54007;0.238095238;0;1;0
465;56238;-0.220779221;83.846154;1;3.846154
466;55074;0.471861472;24.848484;1;0
1490;55455;0.021645022;0;1;0
467;56982;0.056277056;10.76923;1;4.615384
468;55175;0.021645022;1.666667;1;1.666667
469;56772;-0.090909091;3.826087;1;3.826087
470;54604;0.168831169;1.206031;1;1.206031
1495;55600;-0.038961039;0.555556;1;0.555556
472;54506;-0.16017316;0;1;0
474;55075;0.134199134;6.670549;1;0
1498;55415;0.004329004;1.764706;1;1.764706
475;56160;-0.021645022;8.275862;1;7.068966
1499;56577;0.16017316;7;1;0
476;56089;0.203463203;8.333334;1;0
1500;56207;0.16017316;7;1;0
477;56069;0.004329004;88;2;10.666667
479;55589;-0.021645022;5.833334;1;3.333334
480;57444;0.082251082;5.714286;1;5.714286
481;54701;-0.316017316;6.666667;1;3.333333
1506;56977;0.108225108;16.546763;1;0
1508;56042;0.064935065;9.026549;1;0
1510;56369;-0.03030303;2.142857;1;2.142857
1511;51166;-0.056277056;0.620155;1;0.620155
1512;56053;0.038961039;1.132076;1;0.754717
1513;54905;-0.229437229;6.451613;1;4.516129
1516;56561;0.238095238;13.333333;1;0
1517;56408;-0.021645022;20;1;20
1518;54556;0.229437229;4;1;4
1519;56551;0.134199134;27.096775;1;7.096775
1520;55279;-0.0995671;0;1;0
1523;56617;-0.229437229;4.222223;1;4.222223
1524;57028;0.220779221;5.274726;1;0.439561
1547;58460;0.229437229;7.474748;1;0
1549;55651;0.298701299;9.90566;1;2.45283
1551;56168;0.220779221;21.296297;1;4.444445
1553;55772;0.324675325;6.019417;1;1.262135
1554;55178;0.350649351;6.619719;1;6.619719
1555;54955;0.307359307;1.453287;1;1.453287
1556;55527;0.246753247;0;1;0
1559;56487;0.134199134;13.846153;1;13.846153
1565;56557;0.108225108;0.246914;1;0.246914
40496;57106;-0.021645022;75.588235;1;0
40509;55461;-0.012987013;2.45098;1;1.568627
1600;55767;0.064935065;3.376623;1;3.376623
682;55722;-0.134199134;8.695652;1;8.695652
683;55776;0.090909091;13.75;1;3.75
685;33549;-0.047619048;37.333333;1;1.333333
694;55912;0.272727273;0;1;0
713;55028;-0.272727273;9.23077;1;6.153847
714;55101;0.004329004;5.294118;1;1.764706
715;56522;0.238095238;2.424242;1;2.424242
716;56230;0.264069264;5.185185;1;5.185185
717;57865;-0.090909091;2.147651;1;1.073826
719;55151;-0.307359307;14.210527;1;2.105263
721;55966;-0.090909091;6.666667;1;6.666667
723;55488;0.367965368;0;1;0
724;56396;-0.134199134;88.405797;1;12.463768
40660;56937;-0.108225108;2.222222;1;2.222222
726;56358;-0.03030303;4.285714;1;4.285714
40663;54891;0.064935065;3.75;1;3.75
729;56049;0.116883117;5.454546;1;5.454546
730;56859;0.229437229;7.777777;1;5.833333
731;56133;0.064935065;6.923077;1;6.153846
732;55832;0.324675325;10;1;6.111111
733;55090;0.281385281;0;1;0
40669;55492;0.142857143;8.26087;1;0
40671;56487;0.264069264;0.879121;1;0.879121
736;55680;0.203463203;4;1;1.333333
738;57619;-0.125541126;84.285714;1;1.428571
739;55583;0.090909091;5.333334;1;1.333334
740;54481;0.316017316;5.033557;1;5.033557
743;54689;0.177489177;4.107744;1;0
744;56091;0.177489177;8.333334;1;5.555556
745;57154;0.125541126;4;1;0.888889
40681;56231;0.108225108;3.333334;1;3.333334
746;56978;0.316017316;0.555556;1;0
40682;56428;0.064935065;1.967213;1;0.655738
747;55095;0.073593074;1.276595;1;1.276595
40683;56031;0.064935065;7.5;1;4.166667
748;55269;0.151515152;3.043479;1;1.739131
749;54379;0.437229437;8.571429;1;7.482994
750;54760;0.090909091;2.857143;1;2.857143
40686;56546;0.056277056;1.149425;1;1.149425
751;55425;0.298701299;0.201342;1;0.201342
753;57459;0.255411255;7.857143;1;0
754;56671;0.177489177;14.074074;1;0
40690;57043;0.056277056;22.913907;1;3.84106
755;56806;-0.16017316;10;1;2.5
756;57414;0.073593074;3.555555;1;0.444444
757;56018;0.0995671;1.025641;1;1.025641
40693;55716;0.073593074;17.854671;1;0
758;56153;0.047619048;3.529411;1;3.529411
759;56631;-0.090909091;1.25;1;1.25
760;56701;-0.064935065;2.5;1;2.5
762;56420;0.064935065;0;1;0
40698;57477;0.090909091;0.386473;1;0.386473
763;55161;0.108225108;6.111111;1;3.888889
764;55981;0.047619048;0.606061;1;0.151515
40700;57089;0.341991342;6.194691;1;3.00885
765;56634;0.038961039;3.428571;1;1.714285
766;56741;0.359307359;0.136054;1;0.136054
767;54595;-0.108225108;3.571429;1;3.571429
768;56375;0.411255411;1.481481;1;1.481481
769;56525;0.186147186;0.277777;1;0.277777
40705;56481;0.056277056;4.15493;1;0
770;56200;0.212121212;1.945946;1;1.945946
771;55464;0.212121212;0;1;0
773;55881;0.255411255;5.277778;1;0
40709;55183;0.012987013;16;1;16
774;56137;0.116883117;1.632653;1;1.122449
40710;56134;0.168831169;83.409091;3;0
775;56919;0.047619048;19.259259;1;6.666666
40711;54742;-0.03030303;63.13253;1;3.855422
776;56165;0.376623377;5;1;5
40712;56067;-0.073593074;2.156863;1;2.156863
777;56675;-0.012987013;3.333333;1;3.333333
778;55710;-0.212121212;0;1;0
40714;56977;0.333333333;16.666666;1;3.333333
779;56458;0.229437229;1.360544;1;0.680272
40715;57249;0.012987013;4.385965;1;0.964912
780;57616;-0.064935065;15.384616;1;4.615385
782;55706;0.142857143;7.878788;1;1.818182
783;55684;0.367965368;0.714286;1;0.714286
784;54902;-0.255411255;0;1;0
785;56132;-0.047619048;12;1;2
786;56656;0.064935065;0.681818;1;0.681818
787;55222;-0.038961039;16.666666;1;10
788;56772;-0.004329004;4.150943;1;4.150943
789;54419;0.047619048;11.111111;1;7.407408
790;56788;-0.090909091;2.857143;1;2.857143
791;55669;-0.047619048;8;1;8
792;54617;0.151515152;4.081632;1;1.496598
793;56871;0.272727273;10;1;9.722222
794;55062;0.125541126;4.722222;1;4.444444
795;56896;0.16017316;1.938775;1;1.938775
796;56930;-0.134199134;3.050848;1;3.050848
797;56428;0.298701299;1.409396;1;1.409396
798;55585;0.341991342;10.909091;1;2.5
799;56954;0.168831169;3.434344;1;1.077442
800;57257;-0.108225108;10.526315;1;7.368421
801;59061;-0.281385281;65.660377;1;3.396226
804;55112;0.108225108;78.888889;1;5.555556
805;55326;0.411255411;0.408164;1;0.408164
806;55659;0.376623377;1.885522;1;1.885522
808;56283;0.056277056;25.185185;1;2.222222
810;59583;0.134199134;8.292683;1;0
811;56090;0.073593074;0.263158;1;0
812;54863;-0.142857143;15.555556;1;5.185185
813;56600;0.151515152;20.808081;1;4.511785
814;55487;0.16017316;34.014598;1;0.291971
815;56529;0.004329004;3.076923;1;1.538461
817;54494;0.177489177;29.090909;1;5.454546
818;56634;0.125541126;1.555556;1;0
820;56764;-0.272727273;1.791045;1;1.791045
824;55893;0.264069264;6.666667;1;6.666667
825;56290;0.376623377;2.027027;1;0.945946
826;56219;0.090909091;6;1;2.705882
827;54412;0.177489177;2.564102;1;2.153846
829;55375;-0.307359307;7.407408;1;7.407408
830;53282;0.108225108;14.722223;1;2.777778
831;55341;0.012987013;1.896552;1;1.896552
832;55026;0.203463203;3.888889;1;3.888889
835;55904;0.090909091;6.666667;1;1.666667
836;56889;-0.272727273;0;1;0
837;54663;0.238095238;2.424243;1;1.952862
838;55663;0.246753247;2.312925;1;2.312925
839;54929;0.203463203;3.017241;1;0.948276
840;55449;-0.021645022;98.62069;1;5.172414
841;56879;0.073593074;3.262412;1;2.340426
842;56020;-0.064935065;17.333333;1;9.333333
844;55333;0.116883117;0.963856;1;0.240964
845;55872;-0.073593074;15.959596;1;4.242425
848;56617;0.108225108;4.444445;1;4.444445
849;55097;-0.108225108;3.299663;1;3.299663
850;56199;-0.177489177;17.777777;1;2.222222
852;55967;0.134199134;6.666666;1;0
853;55213;-0.073593074;2.550335;1;2.550335
23381;55918;-0.0995671;61.621622;1;0.945946
854;55301;0.047619048;2.272727;1;0
855;55496;0.376623377;4.217687;2;4.217687
857;57010;-0.03030303;11.111112;1;6.666667
858;57790;0.090909091;85.411765;1;0
859;55313;0.307359307;1.052632;1;0
860;57102;-0.151515152;0;1;0
861;57762;0.108225108;84;1;5.6
862;55275;0.385281385;21.73913;1;1.73913
863;55816;0.0995671;5.833333;1;5.833333
