DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RankerPredictTimes; BestThreeLoss
1520;14506;0.41991342;0;1;0
736;14506;0.393939394;7.333333;2;0
957;14506;0.411255411;0.495867;2;0.495867
40647;14506;0.852813853;0;2;0
826;14506;0.497835498;4;4;0
718;14506;0.87012987;0.3367;2;0.3367
870;14506;0.861471861;0;2;0
950;14506;0.0995671;0;2;0
967;14506;0.480519481;0.336134;2;0
40654;14506;0.593073593;1.046026;3;1.004185
977;14506;0.489177489;0.4669;2;0.26013
338;14506;0.212121212;12;1;9.5
962;14506;0.497835498;0;2;0
382;14506;0.41991342; NaN;1; NaN
40663;14506;0.636363636;0.714286;2;0.714286
378;14506;0.367965368; NaN;2; NaN
1162;14506;0.558441558; NaN;2; NaN
814;14506;0.445887446;2.919708;2;0.291971
904;14506;0.601731602;1.073826;6;0
449;14506;0.541125541;0;6;0
40966;14506;0.645021645;0;1;0
824;14506;0.800865801;0;2;0
829;14506;0.74025974;5.185186;2;0
1117;14506;0.255411255;0;2;0
1554;14506;0.593073593;2.816902;2;0
40683;14506;0.523809524;0;3;0
1021;14506;0.714285714;0.32947;2;0
997;14506;0.359307359;0;2;0
683;14506;0.506493506;8.75;2;0
978;14506;0.575757576;0.234114;2;0.234114
23499;14506;0.194805195;0;4;0
828;14506;0.593073593;8.148148;3;0
1000;14506;0.705627706;0.141718;2;0.070859
312;14506;0.41991342;9.012517;2;0.528512
767;14506;0.515151515;0.571429;2;0
335;14506;0.480519481;0.858896;3;0
805;14506;0.792207792;0.544218;5;0
13;14506;0.238095238;2.650602;7;2.650602
994;14506;0.722943723;0.239044;2;0
903;14506;0.878787879;0.404041;2;0
980;14506;0.636363636;0.249554;2;0.249554
276;14506;0.506493506;0;2;0
937;14506;0.774891775;2.17687;2;2.17687
479;14506;0.445887446;0;2;0
917;14506;0.783549784;0;2;0
40697;14506;0.852813853;0;2;0
1022;14506;0.506493506; NaN;2; NaN
6332;14506;0.116883117;0.503145;2;0.503145
1106;14506;0.696969697; NaN;1; NaN
1495;14506;0.108225108;0.555556;3;0
1127;14506;0.376623377; NaN;2; NaN
1149;14506;0.541125541; NaN;2; NaN
878;14506;0.67965368;0;2;0
741;14506;0.264069264;4.802631;3;0.065789
800;14506;0.489177489;1.052631;5;1.052631
975;14506;0.662337662;0;3;0
723;14506;0.852813853;0;5;0
336;14506;0.385281385;1.558441;5;1.558441
993;14506;0.437229437; NaN;2; NaN
27;14506;0.662337662;4.859813;3;0
898;14506;0.61038961;7.692308;3;0
40;14506;0.619047619;6;2;0
719;14506;0.385281385;8.421053;2;2.105263
40685;14506;0.61038961;0;1;0
1478;14506;0.705627706; NaN;2; NaN
770;14506;0.341991342;1.297297;2;1.297297
300;14506;0.645021645; NaN;3; NaN
762;14506;0.558441558;0;3;0
23;14506;0.29004329;2.883295;2;2.883295
1506;14506;0.454545455;0.719425;5;0.431655
343;14506;0.168831169;0;2;0
936;14506;0.80952381;0;3;0
830;14506;0.601731602;0;2;0
450;14506;0.341991342;0;2;0
1012;14506;0.108225108;10.909091;2;5.454545
1458;14506;0.532467532; NaN;2; NaN
48;14506;0.341991342;3.902439;2;3.902439
738;14506;0.523809524;0;3;0
1217;14506;0.012987013; NaN;2; NaN
806;14506;0.922077922;0;2;0
1562;14506;0.298701299; NaN;2; NaN
1100;14506;0.281385281;7.571429;2;3.571429
1146;14506;-0.004329004; NaN;2; NaN
1044;14506;0.61038961;0;1;0
463;14506;0.437229437;5.098039;2;0
1071;14506;0.601731602;0.508475;2;0.508475
40589;14506;-0.220779221; NaN;89; NaN
1509;14506;0.748917749; NaN;1; NaN
460;14506;0.134199134;6.309021;2;1.384742
1220;14506;0.298701299;0.051745;2;0.015023
1067;14506;0.350649351;1.589825;2;0.349762
1524;14506;0.471861472;0.879121;2;0.879121
40707;14506;0.480519481;0.124224;2;0
40672;14506;0.532467532; NaN;1; NaN
875;14506;0.238095238;1.481481;3;1.481481
1528;14506;0.393939394;0.5;2;0
1487;14506;0.471861472;0;2;0
946;14506;0.021645022;7.826087;2;6.956521
818;14506;0.463203463;0.444444;2;0.444444
1552;14506;0.567099567;0;1;0
1116;14506;0.142857143; NaN;1; NaN
897;14506;0.532467532;3.246377;1;1.623189
845;14506;0.705627706;0;3;0
1015;14506;0.212121212;0;2;0
42;14506;0.584415584;0.32967;3;0.32967
23381;14506;0.454545455;0;7;0
339;14506;0.653679654;0;3;0
1459;14506;0.722943723;0;1;0
959;14506;0.16017316;0;2;0
1068;14506;0.454545455;0.666667;2;0.363636
157;14506;0.696969697; NaN;10; NaN
40496;14506;0.281385281;3.235294;1;0
1041;14506;0.662337662; NaN;1; NaN
1510;14506;0.558441558;0.595238;1;0.119048
1529;14506;0.489177489;0;2;0
40708;14506;0.445887446;0.248668;2;0.195382
381;14506;0.445887446; NaN;1; NaN
986;14506;0.463203463;0;3;0
1484;14506;0.463203463;7.428571;2;1.714285
182;14506;0.800865801;0;2;0
476;14506;0.593073593;6.666667;2;6.666667
1492;14506;0.818181818; NaN;1; NaN
743;14506;0.67965368;6.801347;2;0
1157;14506;0.575757576; NaN;2; NaN
1542;14506;0.385281385;0.057637;2;0
5;14506;0.688311688;0;2;0
41;14506;0.662337662;0;2;0
1011;14506;0.359307359;0;2;0
40536;14506;0.636363636; NaN;4; NaN
40671;14506;0.757575758;0;2;0
40591;14506;-0.220779221; NaN;72; NaN
789;14506;0.662337662;0;2;0
375;14506;0.766233766;2.036975;2;0
1069;14506;0.480519481;0.059773;2;0
1523;14506;0.567099567;3.111112;2;0
40474;14506;0.948051948;0;2;0
2;14506;0.142857143;21.520912;2;0
923;14506;0.653679654;0;1;0
995;14506;0.463203463;0.033445;2;0.033445
1534;14506;0.411255411;0.229583;2;0.039357
1088;14506;0.471861472; NaN;10; NaN
908;14506;0.186147186;2.393162;2;0
1133;14506;0.523809524; NaN;2; NaN
40651;14506;0.298701299; NaN;2;1.506276
1226;14506;0.056277056; NaN;3; NaN
1476;14506;0.653679654; NaN;1; NaN
40709;14506;0.367965368;9.333333;1;8
900;14506;0.264069264;2.393162;2;0.17094
911;14506;0.705627706;0;3;0
868;14506;0.246753247;0;3;0
942;14506;-0.038961039;8.333333;2;8.333333
40994;14506;-0.151515152; NaN;6; NaN
1512;14506;0.16017316;2.64151;3;1.132076
149;14506;0.359307359; NaN;97; NaN
831;14506;0.316017316;0;6;0
40645;14506;0.298701299; NaN;5;1.506276
1540;14506;0.471861472;0.187185;3;0
40696;14506;0.878787879;0;6;0
872;14506;0.696969697;0.268456;4;0.268456
850;14506;0.437229437;2.222222;9;0.74074
1548;14506;0.619047619;6.281879;4;0
40680;14506;0.54978355;0;4;0
