DataId; RankerBuildTimes; KendallRankCorrelation; Loss; RankerPredictTimes; BestThreeLoss
1520;482;0.316017316;27.142857;0;13.333333
736;482;-0.168831169;4.666667;0;2.666667
957;482;0.194805195;7.768595;0;0
40647;482;0.220779221;28.995816;0;23.389122
826;482;-0.021645022;4.470588;0;4.470588
718;482;0.307359307;6.060606;0;6.060606
870;482;0.324675325;13.877551;0;5.442176
950;482;0.186147186;0;0;0
967;482;0.177489177;17.647058;0;4.537815
40654;482;0.116883117;5.271967;0;2.928871
977;482;0.064935065;3.765216;0;0.743705
338;482;0.177489177;5.5;0;0
962;482;0.168831169;3.712375;0;0
382;482;0.047619048; NaN;0; NaN
40663;482;0.316017316;15.535715;0;0
378;482;-0.012987013; NaN;0; NaN
1162;482;0.359307359; NaN;0;8.723404
814;482;0.324675325;12.554744;0;0.875912
904;482;0.220779221;18.053692;0;0
449;482;0.359307359;6.656565;0;6.656565
40966;482;0.142857143;0;0;0
824;482;0.341991342;12.789116;0;6.666667
829;482;0.186147186;21.481482;0;7.407408
1117;482;0.445887446;11;0;11
1554;482;0.203463203;16.478874;0;12.535212
40683;482;0.168831169;2.5;0;2.5
1021;482;0.142857143;2.75778;0;0.80537
997;482;0.212121212;0;0;0
683;482;0.168831169;7.5;0;7.5
978;482;0.047619048;1.973244;0;1.973244
23499;482;0.125541126;4;0;0.25
828;482;0.220779221;20.74074;0;6.666666
1000;482;0.03030303;2.214349;0;0.194862
312;482;-0.108225108;19.388039;0;9.012517
767;482;-0.021645022;7.714286;0;3.714286
335;482;0.056277056;20.736196;0;0.858896
805;482;0.341991342;9.52381;0;9.52381
13;482;0.125541126;6.987952;0;2.650602
994;482;0.151515152;17.689243;0;2.948207
903;482;0.238095238;10.235691;0;10.03367
980;482;0.090909091;9.792038;0;3.398692
276;482;0.255411255;6.31579;0;6.31579
937;482;0.272727273;7.210884;0;7.210884
479;482;0.220779221;4.166667;0;4.166667
917;482;0.264069264;13.602694;0;12.525253
40697;482;0.220779221;28.995816;0;23.389122
1022;482;0.004329004; NaN;0; NaN
6332;482;0.125541126;31.194969;0;6.289308
1106;482;0.238095238; NaN;0; NaN
1495;482;0.281385281;0.833333;0;0
1127;482;0.047619048; NaN;0; NaN
1149;482;0.056277056; NaN;0; NaN
878;482;0.324675325;8.148148;0;0
741;482;0.255411255;0.526316;0;0.526316
800;482;0.134199134;17.894736;0;1.052631
975;482;0.272727273;3.050847;0;2.711864
723;482;0.333333333;14.343434;0;12.996633
336;482;-0.038961039;3.896103;0;3.376623
993;482;0.108225108; NaN;0; NaN
27;482;0.021645022;4.859813;0;4.859813
898;482;0.341991342;21.538461;0;0
40;482;0.038961039;25;0;15.666667
719;482;-0.038961039;15.263158;0;6.31579
40685;482;0.272727273;5.291547;0;0.023002
1478;482;0.134199134; NaN;0; NaN
770;482;0.203463203;0;0;0
300;482;0.376623377; NaN;0; NaN
762;482;0.056277056;8.888889;0;2.222222
23;482;0.151515152;8.878719;0;2.608696
1506;482;-0.220779221;1.294964;0;1.294964
343;482;0.177489177;15;0;11.25
936;482;0.281385281;16.870748;0;11.156462
830;482;0.255411255;2.777778;0;2.777778
450;482;-0.108225108;3.947369;0;0.526316
1012;482;-0.012987013;41.818181;0;7.272727
1458;482;0.021645022; NaN;0; NaN
48;482;0.307359307;9.756097;0;0
738;482;0.073593074;22.142857;0;1.428571
1217;482;-0.359307359; NaN;0; NaN
806;482;0.341991342;12.861953;0;12.861953
1562;482;0.151515152; NaN;0; NaN
1100;482;0.272727273;4.571429;0;4.571429
1146;482;0.134199134; NaN;0; NaN
1044;482;0.238095238;14.732987;0;14.391211
463;482;-0.038961039;1.960784;0;1.960784
1071;482;-0.004329004;2.542373;0;2.542373
40589;482;-0.116883117; NaN;0; NaN
1509;482;0.463203463; NaN;0; NaN
460;482;0.134199134;35.818002;0;0
1220;482;-0.246753247;0.542481;0;0.542481
1067;482;-0.064935065;0;0;0
1524;482;0.212121212;10.989011;0;5.054945
40707;482;0.272727273;1.100266;0;1.100266
40672;482;0.238095238; NaN;0; NaN
875;482;0.212121212;6.666666;0;0
1528;482;0.203463203;0.75;0;0.75
1487;482;0.073593074;0.659631;0;0.659631
946;482;0.056277056;9.565217;0;6.956521
818;482;0.324675325;0;0;0
1552;482;0.298701299;15.652174;0;6.645963
