@relation all_all_all_all-standard_config_performanceValues-weka.filters.unsupervised.attribute.Remove-R1

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute Dimensionality numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.lazy.IBk numeric

@data
0.606466,816000,81600,3400,0.661207,0.181514,0.350641,0.812123,0.380846,0.341406,0.953591,0.072383,0.818065,0.865274,0.228285,0.450333,0.04343,0.593993,0.197105,0.267904,0.593993,0.197105,0.267904,0.593993,0.197105,0.267904,0.761693,684,7,68,13.215477,1263.094655,7,3.761602,1871.399107,1.636364,27.833333,4.648024,348.504268,1.636364,2.026983,405.17327,0,7,-0.972384,1.198549,0,0.07299,0.871208,0.008909,8,0.931591,0.246102,0.556959,4,5,39,898,898,22175,6,33,0.102564,1,0.633173,0.153846,0.846154,-0.40305,3.025695,0.967385,10.505436,1.637244,21.22216,1.654731,69.853385,12.741748,901.263669,3.754644,771.859043,0.569269,0.218263,0.141642,0.713366,0.19265,0.300865,0.822151,0.171492,0.418951,0.636958,0.238307,0,0.696573,0.242762,-0.005217,0.778991,0.229399,0.094364,1.557606,25.553212,1.557606,0.872195,0.063474,0.82611,95.361217
0.999061,24,12,6,0.671403,0.339487,0.339644,0.972045,0.072591,0.853986,0.973944,0.059136,0.881192,0.671403,0.339487,0.339644,0.011577,0.989123,0.028786,0.942337,0.989232,0.028786,0.942337,0.99114,0.020964,0.958035,0.522215,1669,3,0,0,0,3,0,0,2.027027,0,0,0,2.027027,0,0,2,0,0,0,2,0,0,0.477785,1527,0.952042,0.121089,0.756971,35,2,37,3196,0,0,0,37,0.945946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.671403,0.339487,0.339644,0.831345,0.245307,0.49744,0.935526,0.095745,0.806981,0.630851,0.394869,0.188165,0.672371,0.380788,0.235532,0.753147,0.30413,0.386537,0.164399,0,0.164399,0.972843,0.069149,0.860968,95.125523
0.75,22950,2550,255,0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.72973,0.245614,0.460811,0.737838,0.315789,0.322325,0.298246,0.805405,0.280702,0.410853,0.805405,0.280702,0.410853,0.805405,0.280702,0.410853,0.649123,37,3,17,13.193069,38.039216,3,3.318064,5.027701,2.555556,9.375,2.046258,9.412291,2.555556,0.255076,2.23551,2,3,-2.035406,2.160714,2,-2.007217,0.707795,0.350877,20,0.944595,0.070175,0.845946,4,2,17,57,56,326,8,9,0.235294,0.982456,0.336429,0.470588,0.529412,-1.413442,3.831012,-0.563056,1.18797,-0.263439,4.421353,0.15855,1.337455,5.180464,10.181866,0.80866,4.034546,0.604054,0.210526,0.515581,0.604054,0.210526,0.515581,0.604054,0.210526,0.515581,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,0.527046,4.627171,0.527046,0.767568,0.210526,0.55814,88
0.354767,17936755200,51247872,144768,0.61801,0.424779,0.193712,0.821059,0.311947,0.517587,0.671405,0.415929,0.345099,0.601558,0.433628,0.187535,0.619469,0.754047,0.307522,0.519053,0.759398,0.307522,0.518198,0.758716,0.311947,0.508597,0.542035,245,13,384,452,367.207965,13,21.260292,127.220248,2.027027,72.849515,50.388651,14.348605,2.027027,1.327008,9.970201,1,1,-1.635151,-23.499115,1,-21.260292,0,0.004425,2,0.786228,0.396018,0.406572,73,13,280,452,384,408,206,74,0.260714,0.849558,0.003224,0.735714,0.264286,2.165154,0,-0.66931,0.96927,7.218928,0.931969,0.354884,3.48159,31.709014,19.962389,2.579932,16.450762,0.560329,0.460177,0.080141,0.690255,0.40708,0.316615,0.728155,0.35177,0.416357,0.533606,0.45354,0.024426,0.536281,0.462389,0.045759,0.653429,0.429204,0.170069,1.334197,96.738378,1.334197,0.59857,0.464602,0.212779,54.42623
0.040902,106496,6656,416,0.657455,0.9293,0.03277,0.95835,0.34985,0.636129,0.983386,0.0483,0.949766,0.657455,0.9293,0.03277,0.00085,0.956047,0.1873,0.805198,0.953763,0.1815,0.811231,0.949726,0.17445,0.818563,0.04065,813,26,16,2.075245,8.33885,26,1.159975,3.304555,26,16,0.697738,5.925466,26,0.290297,2.273771,26,16,-0.421179,3.0461,26,-0.310079,1.546722,0.0367,734,0.955921,0.36025,0.625325,0,26,17,20000,0,0,16,1,0,0,0,0.941176,0.058824,0.309132,4.174812,-0.13733,2.017439,0.885304,5.913225,0.254335,2.293372,1.172839,7.726012,0.653378,2.547423,0.657455,0.9293,0.03277,0.773277,0.867,0.098023,0.85381,0.769,0.199914,0.64962,0.926,0.035489,0.752985,0.86815,0.096053,0.807971,0.792,0.175628,0,0,0,0.973102,0.05785,0.939834,95.254237
0.324444,3600,720,144,0.912599,0.269912,0.683088,0.912599,0.269912,0.683088,0.912599,0.269912,0.683088,0.758368,0.535398,0.305939,0.309735,0.920832,0.256637,0.699606,0.920832,0.256637,0.699606,0.920832,0.256637,0.699606,0.252212,57,24,?,?,?,24,?,?,2.542857,?,?,?,2.542857,?,?,2,?,?,?,2,?,?,0.004425,1,0.946542,0.380531,0.532923,61,24,70,226,222,317,0,70,0.871429,0.982301,0.020038,0,1,?,?,?,?,?,?,?,?,?,?,?,?,0.902972,0.29646,0.645328,0.902972,0.29646,0.645328,0.902972,0.29646,0.645328,0.795065,0.393805,0.533177,0.795065,0.393805,0.533177,0.795065,0.393805,0.533177,2.70633,?,2.70633,0.871837,0.265487,0.685827,79.310345
0.632353,140741550,2385450,31806,0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,0.842862,0.360976,0.526012,0.693905,0.55122,0.21368,0.126829,0.856696,0.312195,0.598015,0.856696,0.312195,0.598015,0.856696,0.312195,0.598015,0.326829,67,22,186,5.305682,13207.129353,22,2.610862,7947.066342,6,61.333333,1.359319,1447.091008,6,0.799581,606.987934,2,23,-0.828945,3.255423,2,-0.683122,0.273539,0.014634,3,0.836849,0.419512,0.462467,4,6,26,205,46,59,15,11,0.153846,0.22439,0.011069,0.576923,0.423077,-0.042854,25.219512,0.073237,2.443522,0.578648,98.756585,0.681398,6.886443,2.62328,174.049268,1.391029,41.642693,0.803721,0.439024,0.417632,0.803721,0.439024,0.417632,0.803721,0.439024,0.417632,0.842526,0.268293,0.651436,0.842526,0.268293,0.651436,0.842526,0.268293,0.651436,5.796551,49.449349,5.796551,0.825862,0.258537,0.666329,73.454545
0.503401,1024,256,64,0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,0.792455,0.236486,0.54744,0.771566,0.243243,0.531646,0.128378,0.803504,0.243243,0.55,0.803504,0.243243,0.55,0.803504,0.243243,0.55,0.547297,81,8,8,29.749465,2.601351,8,5.442362,1.905023,3,5,9.883463,2.045045,3,2.326489,1.018402,2,3,-0.504096,1.060811,2,0.333795,0.313557,0.013514,2,0.908328,0.155405,0.701482,9,4,19,148,0,0,3,16,0.473684,0,0,0.157895,0.842105,-0.504096,1.060811,0.333795,0.313557,0.405021,2.472973,1.203312,0.836627,29.749465,2.601351,5.442362,1.905023,0.746658,0.290541,0.430362,0.746658,0.290541,0.430362,0.746658,0.290541,0.430362,0.757621,0.243243,0.529536,0.757621,0.243243,0.529536,0.757621,0.243243,0.529536,1.591645,2.645751,1.591645,0.827738,0.195946,0.623707,84.285714
0.697115,625,125,25,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.646919,0.376,0.302671,0.008,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.840682,0.1984,0.637396,0.4608,288,3,5,-1.300798,3,3,0,1.415346,3,5,-1.300798,3,3,0,1.415346,3,5,-1.300798,3,3,0,1.415346,0.0784,49,0.963095,0.104,0.807122,0,3,5,625,0,0,4,1,0,0,0,0.8,0.2,-1.300798,3,0,1.415346,-1.300798,3,0,1.415346,-1.300798,3,0,1.415346,0.852567,0.2144,0.602374,0.852567,0.2144,0.602374,0.852567,0.2144,0.602374,0.834431,0.2144,0.625732,0.834431,0.2144,0.625732,0.834431,0.2144,0.625732,0,0,0,0.923201,0.1648,0.702793,83.715847
0.995498,104917340000,191455000,348100,0.720747,0.8065,0.103889,0.994321,0.0535,0.940556,0.974192,0.0465,0.948333,0.720747,0.8065,0.103889,0.1085,0.936843,0.1405,0.843889,0.937191,0.1385,0.846111,0.932915,0.139,0.845556,0.1,200,10,590,1.701286,1141.5705,10,0.863071,153.511581,10,214.722222,-0.315188,318.270389,10,0.027561,49.581313,10,15,-1.389321,6.7675,10,-1.073824,1.985485,0.1,200,0.991907,0.0765,0.915,0,10,217,2000,0,0,216,1,0,0,0,0.995392,0.004608,-0.697047,14.118125,-0.219026,5.542689,-0.402691,146.47975,-0.014119,30.290066,0.011386,684.50275,0.366513,91.596871,0.720747,0.8065,0.103889,0.851237,0.6285,0.301667,0.919118,0.366,0.593333,0.709133,0.8055,0.105,0.821995,0.655,0.272222,0.88628,0.5005,0.443889,0,191.563182,0,0.975326,0.044,0.951111,95.186441
